wage1,wage2,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
2099,2187.371239,55,119,38,3,10,32,1,1,0,3,3,3
940,996.9144768,48,104,25,2,13,32,1,1,3,2,2,2
1000,1065.435383,40,96,40,2,15,37,1,1,3,2,2,2
995,999.467126,40,92,23,2,22,38,1,1,3,2,2,2
1600,1648.630778,50,109,44,3,16,33,1,0,2,3,3,3
511,588.4003896,45,101,25,2,13,30,1,1,3,1,1,1
1411,1482.575374,45,111,40,3,11,32,1,1,1,3,3,3
1522,1604.444804,46,102,37,2,15,37,1,0,3,3,3,3
1200,1236.22122,50,99,37,2,11,28,1,1,3,3,3,3
1377,1458.075999,37,118,48,3,15,36,1,1,2,3,3,3
615,686.0932288,50,99,49,3,16,38,1,0,2,1,1,1
800,853.3991867,55,106,34,2,17,36,1,0,3,2,2,2
812,824.7050852,40,131,44,3,9,30,0,0,1,2,2,2
549,627.0974954,49,79,23,2,11,32,0,0,3,1,1,1
1300,1312.00762,35,100,38,2,13,31,1,1,3,3,3,3
721,769.6354484,40,105,22,2,11,30,1,0,3,1,1,1
1100,1180.458972,40,104,41,2,18,37,1,1,2,3,3,3
433,451.0354457,50,100,40,2,5,37,1,0,2,1,1,1
940,993.1779171,40,71,20,2,9,29,1,0,2,2,2,2
1000,1078.719748,65,93,32,2,11,29,1,1,3,2,2,2
500,584.7455984,40,98,26,3,14,32,1,0,3,1,1,1
750,838.5260403,43,94,38,3,12,33,1,0,1,1,1,1
723,797.8392369,40,102,44,2,12,30,1,1,3,1,1,1
1039,1136.369679,40,113,49,3,12,34,1,1,1,2,2,2
850,944.9124387,40,97,35,2,16,37,1,1,1,2,2,2
508,509.0845578,50,87,35,2,16,32,1,1,2,1,1,1
963,1056.4714,40,85,32,3,9,28,1,1,3,2,2,2
1463,1513.829538,45,104,47,3,14,37,1,1,3,3,3,3
802,822.0031892,40,99,26,2,13,29,1,1,3,2,2,2
751,801.3970071,40,114,37,3,9,28,1,1,2,1,1,1
1400,1425.933048,40,92,34,2,15,36,1,1,2,3,3,3
940,956.9239917,45,98,41,3,10,31,1,1,2,2,2,2
346,393.2403121,40,110,37,2,16,38,1,1,2,1,1,1
560,617.4384655,49,112,37,3,13,32,1,0,3,1,1,1
950,1001.800443,44,96,26,3,8,32,1,1,1,2,2,2
1634,1685.842543,40,95,48,2,18,38,1,1,3,3,3,3
666,691.7207273,50,89,28,2,16,34,1,1,3,1,1,1
1679,1692.182323,55,127,45,3,10,32,1,1,1,3,3,3
1154,1238.437219,42,88,32,2,14,29,1,1,2,3,3,3
1602,1690.19321,60,110,45,3,14,37,1,1,3,3,3,3
1000,1035.244168,40,101,36,2,16,35,1,1,1,2,2,2
852,896.1296853,44,89,36,2,13,32,1,1,3,2,2,2
1329,1413.58048,55,115,56,3,10,36,1,1,1,3,3,3
1682,1725.982272,40,115,48,3,10,37,1,1,1,3,3,3
685,777.7929935,40,93,27,2,17,38,0,1,3,1,1,1
577,607.8366994,40,111,37,3,8,29,0,1,1,1,1,1
1040,1130.574058,40,101,38,2,19,38,1,1,3,2,2,2
1250,1269.392042,40,92,42,3,10,32,0,1,1,3,3,3
1000,1009.080801,40,93,26,2,11,29,1,1,3,2,2,2
478,545.1202191,45,90,35,2,19,34,1,1,2,1,1,1
440,491.1519889,40,84,23,2,11,30,1,1,3,1,1,1
705,730.2454588,40,89,32,2,19,36,1,1,0,1,1,1
1550,1640.415542,40,104,47,2,16,34,1,0,3,3,3,3
1000,1001.279565,40,100,42,2,16,32,1,1,2,2,2,2
479,481.2611015,40,97,45,2,15,38,1,0,3,1,1,1
1346,1436.04864,45,60,34,3,8,31,1,1,2,3,3,3
543,556.8853606,45,90,31,3,5,38,1,1,1,1,1,1
450,468.6964833,40,63,26,2,12,31,1,1,3,1,1,1
547,564.814031,60,88,38,2,17,34,1,1,3,1,1,1
1634,1686.363965,40,94,39,3,18,36,1,1,2,3,3,3
1200,1212.02127,40,109,42,3,7,33,1,1,2,3,3,3
855,869.1874829,45,89,21,2,6,31,1,0,3,2,2,2
1053,1112.816671,40,90,33,2,18,37,1,0,1,2,2,2
900,919.6289295,55,100,27,2,18,34,0,1,2,2,2,2
1602,1615.852215,45,111,40,3,10,31,1,0,1,3,3,3
508,538.9772093,50,125,44,3,9,31,1,1,3,1,1,1
1500,1545.083898,60,124,20,3,6,29,1,0,2,3,3,3
1682,1683.655873,50,107,41,3,15,32,1,1,0,3,3,3
843,877.9704864,40,102,32,3,8,29,1,0,1,2,2,2
495,557.123525,40,88,30,2,6,31,1,1,2,1,1,1
1212,1266.811363,40,95,36,2,6,38,1,0,3,3,3,3
577,581.8807014,40,92,33,3,8,28,1,1,1,1,1,1
390,476.3547183,59,74,26,3,10,30,1,1,3,1,1,1
460,551.3397607,40,92,22,2,16,36,1,1,3,1,1,1
1333,1383.598375,45,112,50,3,14,38,1,1,1,3,3,3
1500,1555.200817,37,119,41,3,8,33,0,1,1,3,3,3
1333,1391.163851,45,103,30,3,7,34,1,1,3,3,3,3
797,801.446534,41,89,38,2,10,36,1,0,1,2,2,2
400,463.1341842,40,88,34,2,14,32,1,1,3,1,1,1
1015,1095.411216,40,67,31,2,15,32,1,1,3,2,2,2
630,692.8630501,40,103,30,3,14,32,1,0,0,1,1,1
445,519.6984075,40,91,40,2,11,32,1,0,0,1,1,1
779,781.5923299,40,85,30,2,14,37,1,1,3,2,2,2
377,406.9832349,40,83,32,2,9,36,0,1,1,1,1,1
453,542.7410157,50,94,34,2,9,30,1,0,3,1,1,1
962,1006.768849,50,105,45,3,15,37,1,1,3,2,2,2
1091,1106.579256,50,88,31,3,13,37,1,1,3,3,3,3
350,442.5800224,40,93,41,2,16,33,0,1,1,1,1,1
1026,1082.828072,45,113,27,3,9,30,1,1,2,2,2,2
915,944.9934674,55,114,36,2,17,37,1,1,1,2,2,2
910,973.6448438,40,82,26,3,5,30,1,1,3,2,2,2
1000,1003.664605,40,89,40,2,17,38,1,1,3,2,2,2
1160,1175.111171,40,74,18,2,14,33,1,1,3,3,3,3
713,732.1100293,40,75,25,2,5,36,1,1,3,1,1,1
929,930.5194973,40,97,28,3,12,30,1,1,2,2,2,2
400,484.5986734,50,68,35,2,4,31,1,1,3,1,1,1
1241,1289.648857,40,83,51,3,9,33,1,1,2,3,3,3
403,428.726373,45,98,37,2,5,30,1,1,2,1,1,1
812,890.5102725,40,81,20,2,17,34,1,1,2,2,2,2
700,724.5004091,20,85,27,2,13,35,1,1,3,1,1,1
450,494.299501,40,79,23,2,20,36,1,1,3,1,1,1
621,632.2975619,43,84,24,2,14,31,1,0,3,1,1,1
726,739.5959321,45,93,32,2,16,36,1,0,3,1,1,1
393,432.019058,48,92,37,2,15,38,1,1,1,1,1,1
962,1010.264074,50,109,44,2,21,37,1,0,0,2,2,2
732,789.8864784,40,104,36,2,10,36,1,1,1,1,1,1
700,765.3708452,40,81,26,2,13,31,1,0,3,1,1,1
500,544.6940272,44,87,25,3,5,31,1,1,3,1,1,1
1710,1763.149066,45,114,39,3,7,32,1,1,1,3,3,3
533,558.397314,30,65,21,2,5,32,0,1,3,1,1,1
1539,1627.72751,40,111,41,3,10,37,1,1,3,3,3,3
962,986.9534019,40,110,34,2,16,33,1,1,2,2,2,2
990,1076.345939,40,67,23,2,16,34,1,1,2,2,2,2
926,946.9864311,55,64,22,2,18,38,1,1,3,2,2,2
1559,1601.018716,40,103,32,2,17,34,1,1,3,3,3,3
1312,1326.356899,40,118,39,2,14,32,1,1,0,3,3,3
923,963.3201479,40,118,36,3,8,35,1,1,3,2,2,2
879,885.5442686,40,118,41,3,1,31,1,1,1,2,2,2
800,844.7477633,25,75,37,3,14,38,1,1,0,2,2,2
797,830.9826455,55,90,36,3,11,33,1,1,3,2,2,2
360,422.0019747,55,110,44,3,11,38,0,1,3,1,1,1
520,555.0861875,40,126,23,3,8,30,1,1,3,1,1,1
2137,2147.52812,45,108,45,3,11,36,1,1,2,3,3,3
931,980.2560505,80,108,40,3,4,36,1,1,3,2,2,2
812,847.3136461,45,115,46,3,11,34,1,1,1,2,2,2
500,538.5890863,40,101,31,3,12,32,1,0,2,1,1,1
528,575.5181715,55,116,40,3,5,30,1,1,3,1,1,1
1212,1302.831572,40,98,26,2,11,28,0,1,3,3,3,3
1843,1909.289288,48,109,38,3,11,32,1,1,3,3,3,3
1602,1624.072065,60,124,36,3,12,37,1,1,1,3,3,3
1699,1733.000075,40,100,40,2,11,33,1,1,1,3,3,3
1107,1154.409189,40,112,38,2,12,38,1,1,3,3,3,3
625,699.958709,40,73,24,2,1,31,1,1,3,1,1,1
720,785.9194682,50,101,39,3,1,29,1,1,3,1,1,1
855,912.4925012,40,99,44,2,19,36,1,1,1,2,2,2
1250,1301.768115,40,95,23,2,12,32,1,1,2,3,3,3
962,1029.798359,40,112,46,3,8,37,1,1,2,2,2,2
1874,1886.225743,48,64,37,2,22,38,1,1,3,3,3,3
1573,1620.361011,55,90,28,2,5,30,1,1,3,3,3,3
900,942.4842643,40,119,39,3,8,30,1,0,1,2,2,2
1710,1733.620175,45,118,40,3,12,38,1,1,1,3,3,3
751,764.4204187,40,96,42,2,9,38,1,0,1,1,1,1
1250,1326.838735,40,78,36,2,16,33,1,1,3,3,3,3
1211,1257.779894,27,92,33,2,13,31,1,1,3,3,3,3
904,956.126282,50,98,29,3,7,33,1,1,3,2,2,2
872,914.9148549,45,115,30,3,7,29,1,1,3,2,2,2
950,1040.324427,40,96,38,2,14,35,1,1,1,2,2,2
1084,1123.640425,45,95,38,3,17,37,1,1,1,3,3,3
1058,1063.153327,40,94,40,3,13,34,1,1,0,1,3,3
1924,1976.057072,40,105,42,3,14,36,1,0,0,3,3,3
1092,1185.389167,44,110,34,3,15,36,1,1,3,3,3,3
1049,1065.089297,44,122,39,3,7,33,1,0,3,2,2,2
1200,1299.472089,40,79,32,3,9,32,1,1,0,3,3,3
664,706.0403536,40,105,30,2,8,29,1,1,3,1,1,1
1111,1142.267242,45,90,47,2,18,37,1,1,3,3,3,3
850,945.0793451,43,111,38,3,8,34,1,1,3,2,2,2
875,969.9878238,40,92,32,2,8,29,0,1,3,2,2,2
1202,1256.148225,40,131,32,3,10,33,1,0,3,3,3,3
923,932.6988955,40,110,39,3,15,37,1,0,2,2,2,2
788,810.4908734,40,99,20,2,10,28,1,1,3,2,2,2
1442,1524.052252,40,105,42,2,9,37,1,1,3,3,3,3
866,917.4760271,40,85,26,2,11,30,1,0,3,2,2,2
2308,2399.608966,40,116,42,3,8,38,1,0,3,3,3,3
1196,1273.407025,45,96,45,3,10,32,1,0,2,3,3,3
721,731.5714283,40,100,32,2,8,29,1,1,3,1,1,1
1050,1085.349739,50,97,31,3,4,31,1,1,2,2,2,2
801,804.7855447,48,100,30,3,6,29,1,1,2,2,2,2
1198,1202.199035,32,117,39,3,7,30,1,1,1,3,3,3
390,469.6205612,55,93,38,2,4,32,1,1,1,1,1,1
889,974.1751156,36,116,37,2,12,28,1,1,1,2,2,2
750,841.4073436,50,103,36,3,1,37,1,0,1,1,1,1
855,897.1862376,40,118,41,3,6,33,1,0,3,2,2,2
800,881.1376822,43,96,27,2,10,29,1,0,1,2,2,2
1384,1388.704761,50,104,42,3,8,31,1,0,3,3,3,3
510,604.5173321,54,62,34,2,13,33,0,1,3,1,1,1
596,613.7009551,40,62,26,2,16,33,1,0,3,1,1,1
418,514.4407847,40,76,26,2,12,31,1,0,0,1,1,1
681,744.0097355,40,94,24,2,18,35,0,1,3,1,1,1
661,685.1055214,40,96,25,3,8,29,0,0,3,1,1,1
550,558.242602,40,95,34,2,14,31,1,0,0,1,1,1
817,896.6829347,40,101,38,3,11,32,1,1,1,2,2,2
987,988.7403194,40,96,23,2,11,29,1,0,1,2,2,2
616,707.9262433,55,104,41,2,16,35,1,1,3,1,1,1
900,917.6518016,38,106,40,2,10,38,1,1,3,2,2,2
1418,1496.012561,45,102,44,2,19,36,1,1,2,3,3,3
662,689.05938,45,99,27,3,7,28,1,0,3,1,1,1
357,384.9407392,70,115,37,3,5,30,1,1,3,1,1,1
1009,1098.261577,40,118,37,3,11,32,1,0,0,2,2,2
1442,1523.08266,40,108,40,2,17,36,1,1,1,3,3,3
651,678.0959286,40,76,30,2,11,29,1,1,3,1,1,1
754,786.310403,40,55,23,2,13,33,1,0,2,1,1,1
700,769.5060027,40,73,23,2,17,38,1,0,3,1,1,1
503,580.9761499,40,84,14,2,11,30,0,1,3,1,1,1
750,795.7462273,40,83,27,2,4,32,1,0,3,1,1,1
642,651.3434057,35,87,26,3,9,30,1,0,3,1,1,1
400,458.6650094,50,96,38,3,6,28,0,0,3,1,1,1
900,961.4743332,40,80,34,2,15,38,1,0,3,2,2,2
894,913.4094859,40,104,35,3,7,35,1,0,3,2,2,2
751,829.1318935,40,104,32,2,15,34,1,1,3,1,1,1
300,396.4994094,24,83,45,2,16,37,1,1,3,1,1,1
1070,1135.244359,40,91,42,2,13,30,1,1,1,3,3,3
650,694.2605619,40,97,27,2,14,30,1,0,3,1,1,1
700,719.9176885,45,99,40,2,15,32,1,0,3,1,1,1
494,588.1263583,40,74,30,2,16,34,1,0,3,1,1,1
890,897.8432088,48,100,40,2,4,31,1,0,0,2,2,2
520,546.4622859,40,86,28,2,15,31,1,0,0,1,1,1
570,628.6183221,50,101,43,2,11,30,1,1,2,1,1,1
1473,1536.901749,40,110,48,3,15,36,1,0,1,3,3,3
962,1019.766257,50,97,34,3,7,30,1,1,0,2,2,2
1000,1063.256381,44,103,37,2,9,29,1,1,0,2,2,2
450,523.7822036,40,95,31,2,12,30,1,0,2,1,1,1
629,660.7489282,60,93,32,2,6,30,1,0,3,1,1,1
566,619.4441763,45,104,46,3,5,32,1,0,1,1,1,1
481,566.5543565,40,82,27,2,9,32,1,0,2,1,1,1
1442,1524.685669,40,113,45,3,8,35,1,1,2,3,3,3
788,846.7597252,40,100,23,2,15,32,1,0,3,2,2,2
644,736.6343221,42,101,38,2,11,33,1,0,3,1,1,1
477,533.2223203,45,100,33,2,9,31,1,0,3,1,1,1
664,700.4678882,60,82,30,3,10,34,1,1,3,1,1,1
873,894.0762541,44,109,25,2,12,28,1,0,1,2,2,2
1000,1023.495275,40,107,32,2,17,35,1,0,3,2,2,2